,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
437,GALO4,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1398,-1.8458,0.0,0.3937,0.0762,0.0,-60607000.0,0.0,-0.2897
438,GAZO3,3.4,0.45,-0.05,-2.068,0.0,0.301,-0.67,1.26,-0.04,1.43,1.43,-1.64,-4.5448,0.35,0.2506,-0.1061,0.0,-102667000.0,-0.01,-0.2821
439,GAZO4,2.32,0.31,-0.03,-1.411,0.0,0.205,-0.46,0.86,-0.03,1.03,1.03,-1.64,-4.5448,0.35,0.2506,-0.1061,0.0,-102667000.0,-0.01,-0.2821
440,GBIO33,10.4,-14.97,1.32,1.518,0.0,0.791,7.57,13.53,17.58,16.06,16.06,0.1121,-0.1014,1.31,0.0712,-0.0883,0.0,838439000.0,0.31,-0.08990000000000001
441,GEPA3,26.0,10.73,0.0,2.435,0.1613,0.0,0.0,8.28,0.0,8.28,5.64,0.2942,0.22690000000000002,0.0,0.0,0.0,2812.7,0.0,0.0,-0.06309999999999999
442,GEPA4,24.76,10.22,0.0,2.319,0.16940000000000002,0.0,0.0,7.88,0.0,7.88,5.37,0.2942,0.22690000000000002,0.0,0.0,0.0,26669.0,0.0,0.0,-0.06309999999999999
443,GETI3,14.45,13.19,3.44,1.916,0.0,1.314,-15.63,6.98,-3.19,8.2,6.76,0.2743,0.1452,0.71,0.22699999999999998,0.2609,0.0,1601130000.0,0.86,0.13390000000000002
444,GETI4,14.46,13.2,3.44,1.917,0.0,1.315,-15.64,6.99,-3.2,8.2,6.76,0.2743,0.1452,0.71,0.22699999999999998,0.2609,0.0,1601130000.0,0.86,0.13390000000000002
445,GETT3,2.4,7.55,1.24,1.336,0.0,0.081,3.13,6.04,3.36,6.86,4.78,0.2213,0.1766,1.03,0.013600000000000001,0.1641,0.0,3618060000.0,0.34,0.0
446,GETT4,2.4,7.55,1.24,1.336,0.0,0.081,3.13,6.04,3.36,6.86,4.78,0.2213,0.1766,1.03,0.013600000000000001,0.1641,0.0,3618060000.0,0.34,0.0
447,GFSA3,3.79,-2.4,0.19,0.318,0.0,0.066,0.24,-1.57,2.2,-8.71,-9.59,-0.2026,-0.133,1.69,-0.0438,-0.0795,10848900.0,1778740000.0,0.96,0.2593
448,GGBR3,16.02,5.33,0.65,0.51,0.0666,0.439,1.77,4.25,6.9,4.89,3.5,0.12,0.0962,2.79,0.1225,0.12210000000000001,1323530.0,51919400000.0,0.21,0.1655
449,GGBR4,17.74,5.9,0.72,0.565,0.0601,0.486,1.96,4.7,7.65,5.34,3.83,0.12,0.0962,2.79,0.1225,0.12210000000000001,244174000.0,51919400000.0,0.21,0.1655
450,GGPS3,17.24,17.65,3.68,1.041,0.0184,1.105,3.88,11.31,-6.35,12.23,9.65,0.092,0.059500000000000004,2.19,0.12269999999999999,0.20829999999999999,37061700.0,3165810000.0,0.92,0.2455
451,GLOB4,30.49,-1.12,0.91,0.104,0.0,0.093,-0.57,4.09,-0.19,13.96,5.42,0.0255,-0.09300000000000001,0.71,0.0315,-0.8086,0.0,3202000000.0,2.77,0.0189
452,GMAT3,7.15,12.93,1.79,0.558,0.0146,0.956,2.7,10.07,6.58,11.73,9.54,0.0555,0.0437,2.41,0.125,0.1386,29605500.0,8813800000.0,0.45,0.29059999999999997
453,GNDI3,66.95,-3584.82,5.84,3.423,0.0239,2.378,79.65,87.05,-6.21,91.13,50.88,0.0393,-0.0009,1.17,0.030899999999999997,-0.0016,0.0,7116080000.0,0.53,0.2523
454,GOAU3,10.43,5.01,0.61,0.163,0.13720000000000002,0.139,0.55,1.36,2.06,1.96,1.41,0.1198,0.0967,2.82,0.12210000000000001,0.1216,623197.0,17694200000.0,0.62,0.1655
455,GOAU4,10.34,4.96,0.6,0.161,0.1384,0.138,0.55,1.35,2.04,1.95,1.4,0.1198,0.0967,2.82,0.12210000000000001,0.1216,99445000.0,17694200000.0,0.62,0.1655
456,GOLL4,1.02,0.22,-0.02,0.023,0.0,0.022,-0.03,0.18,-0.01,5.29,3.1,0.12990000000000002,0.1048,0.32,0.1592,-0.10060000000000001,9954190.0,-19348000000.0,-0.73,0.20370000000000002
457,GPAR3,47.5,-47308.2,5.0,833.441,0.0,4.629,15.96,2181.36,20.24,2076.71,2083.92,0.3821,-0.0176,23.85,0.0028000000000000004,-0.0001,0.0,757009000.0,0.02,-0.6308
458,GPIV33,3.63,4.58,0.39,2.155,0.0,0.228,2.19,3.42,18.04,1.77,1.77,0.6297,0.4892,2.97,0.0793,0.0858,2513400.0,1495660000.0,0.06,-0.0975
459,GRND3,5.92,9.14,1.46,2.177,0.054400000000000004,1.255,2.31,13.48,2.32,10.69,8.77,0.16149999999999998,0.2382,5.09,0.1356,0.1592,6808460.0,3669650000.0,0.05,0.061200000000000004
460,GRNL4,470.0,11.09,1.07,7.231,0.0,0.975,8.04,-64.72,15.01,-63.22,-63.22,-0.1117,0.6518999999999999,4.35,-0.0165,0.0969,0.0,93104000.0,0.05,0.2148
461,GSHP3,10.5,-3.46,-0.02,0.123,0.0,0.014,0.52,0.41,-0.01,36.96,35.41,0.2967,-0.0355,1.16,0.0356,0.0070999999999999995,668.37,-822939000.0,-2.3,0.1285
462,GUAR3,6.45,131.89,0.63,0.359,0.018600000000000002,0.236,0.93,7.05,44.53,9.11,3.8,0.051,0.0027,1.68,0.0444,0.0048,14396100.0,5108920000.0,0.62,0.0674
463,GUAR4,151.0,3087.67,14.75,8.411,0.0,5.531,21.75,165.04,1042.44,167.1,69.78,0.051,0.0027,1.68,0.0444,0.0048,0.0,5108920000.0,0.62,0.0674
464,GVTT3,57.7,57.38,3.68,4.312,0.0,2.268,21.82,25.92,-18.43,26.65,26.65,0.1664,0.07519999999999999,1.66,0.1032,0.0642,0.0,2150790000.0,0.24,0.3147
465,HAGA3,2.81,8.95,-0.63,1.209,0.0,0.53,1.1,-18.96,-0.55,-5.38,-16.09,-0.0638,0.1351,2.24,-0.10279999999999999,-0.0709,14601.6,-52754200.0,-0.39,0.013999999999999999
466,HAGA4,1.19,3.79,-0.27,0.512,0.0,0.224,0.46,-8.03,-0.23,5.55,16.6,-0.0638,0.1351,2.24,-0.10279999999999999,-0.0709,17154.8,-52754200.0,-0.39,0.013999999999999999
467,HAPV3,3.67,-79.04,0.56,1.237,0.0,0.38,10.46,18.49,-1.91,21.16,20.01,0.0669,-0.015700000000000002,1.41,0.022799999999999997,-0.0070999999999999995,266618000.0,49174300000.0,0.22,0.4268
468,HBOR3,2.06,5.38,0.2,0.212,0.044199999999999996,0.043,0.13,1.59,-1.69,11.04,9.49,0.1335,0.1369,2.35,0.0296,0.0363,1147970.0,1413800000.0,1.48,-0.0012
469,HBRE3,5.16,4.54,0.26,3.455,0.0,0.111,2.16,1.23,-0.35,3.91,3.88,2.8117,1.6143,1.85,0.09480000000000001,0.057800000000000004,2470590.0,2030120000.0,0.68,0.2734
470,HBSA3,3.77,-39.09,2.14,1.552,0.0,0.467,-10.26,10.36,-0.79,23.36,10.21,0.14980000000000002,-0.0397,0.81,0.052300000000000006,-0.0547,26396700.0,1341690000.0,3.22,0.1641
471,HBTS5,36.2,1.26,0.49,1.042,0.084,0.207,4.05,1.94,-0.48,3.16,3.14,0.5362,0.8249,1.59,0.10949999999999999,0.3857,3452.51,678756000.0,0.36,1.075
472,HETA3,96.0,-58.01,-0.14,12.452,0.0,3.545,-41.35,21.28,-0.14,162.34,162.34,0.5852,-0.2146,0.75,0.16690000000000002,0.0024,0.0,-351629000.0,-0.92,0.3654
473,HETA4,5.45,-3.29,-0.01,0.707,0.0,0.201,-2.35,1.21,-0.01,142.27,142.27,0.5852,-0.2146,0.75,0.16690000000000002,0.0024,1555.86,-351629000.0,-0.92,0.3654
474,HGTX3,37.5,101.99,3.57,4.178,0.0,2.48,7.5,105.87,9.93,106.77,42.5,0.0395,0.040999999999999995,2.47,0.03,0.0351,0.0,1704940000.0,0.12,-0.0462
475,HGTX4,9.6,26.11,0.92,1.07,0.0,0.635,1.92,27.1,2.54,28.0,11.15,0.0395,0.040999999999999995,2.47,0.03,0.0351,0.0,1704940000.0,0.12,-0.0462
476,HOOT4,2.61,0.95,-0.37,0.324,0.0,0.092,-0.28,1.76,-0.08,1.1,0.79,0.1839,0.34130000000000005,0.31,0.0559,-0.392,6748.53,-128896000.0,-0.01,0.319
477,HYPE3,29.05,10.81,1.57,2.288,0.048499999999999995,0.728,4.76,7.32,-3.77,10.27,9.32,0.3126,0.2114,1.81,0.1157,0.14529999999999998,110833000.0,11711400000.0,0.9,0.23309999999999997
478,ICPI3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
479,IDVL11,140.0,-66.0,60.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9176000000000001,0.0,237683000.0,0.0,0.0
480,IDVL3,2.16,-1.02,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9176000000000001,0.0,237683000.0,0.0,0.0
481,IDVL4,2.67,-1.26,1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9176000000000001,0.0,237683000.0,0.0,0.0
482,IENG3,0.15,-0.81,0.99,1.717,0.0,0.11,-1.17,3.88,-0.3,25.11,25.11,0.4429,-2.2461,0.85,0.028399999999999998,-1.2241,0.0,52234000.0,5.45,0.08130000000000001
483,IENG5,0.12,-0.65,0.79,1.374,0.0,0.088,-0.93,3.1,-0.24,24.33,24.33,0.4429,-2.2461,0.85,0.028399999999999998,-1.2241,0.0,52234000.0,5.45,0.08130000000000001
484,IFCM3,0.33,-0.69,0.14,0.195,0.0,0.066,2.53,-3.15,-0.28,-11.13,7.44,-0.061900000000000004,-0.2834,1.1,-0.026099999999999998,-0.19879999999999998,5456810.0,1535670000.0,0.48,0.4068
485,IGBR3,175.99,0.56,-0.34,30.247,0.0,1.035,-0.99,-3.7,-0.29,-7.85,-8.21,-8.1712,53.7932,0.33,-0.5799,-0.601,10393.3,-650957000.0,-0.54,0.13970000000000002
486,IGBR5,18.9,0.06,-0.04,3.248,0.0,0.111,-0.11,-0.4,-0.03,-4.55,-4.76,-8.1712,53.7932,0.33,-0.5799,-0.601,0.0,-650957000.0,-0.54,0.13970000000000002
487,IGBR6,19.0,0.06,-0.04,3.266,0.0,0.112,-0.11,-0.4,-0.03,-4.55,-4.76,-8.1712,53.7932,0.33,-0.5799,-0.601,0.0,-650957000.0,-0.54,0.13970000000000002
488,IGTA3,33.13,17.22,1.54,5.58,0.0,0.937,8.26,10.74,-6.48,12.46,9.63,0.5196000000000001,0.3272,1.85,0.10949999999999999,0.0894,0.0,3754160000.0,0.58,0.1134
489,IGTI11,19.72,17.54,1.4,5.066,0.02,0.764,5.56,9.6,-3.67,12.43,9.68,0.5278,0.2916,2.26,0.1005,0.07980000000000001,85962200.0,4234480000.0,0.79,0.1449
490,IGTI3,2.63,16.37,1.31,4.73,0.021400000000000002,0.713,5.19,8.96,-3.43,11.79,9.18,0.5278,0.2916,2.26,0.1005,0.07980000000000001,113287.0,4234480000.0,0.79,0.1449
491,IGUA3,8.15,-12.52,-1.44,0.568,0.0,0.564,-0.65,8.22,-0.6,14.8,5.8,0.0691,-0.0453,0.34,0.0761,0.1152,0.0,-164188000.0,-1.33,-0.0741
492,IGUA5,7.98,-12.26,-1.41,0.556,0.0,0.552,-0.64,8.04,-0.59,14.63,5.73,0.0691,-0.0453,0.34,0.0761,0.1152,0.0,-164188000.0,-1.33,-0.0741
493,IGUA6,8.07,-12.4,-1.43,0.562,0.0,0.558,-0.64,8.14,-0.59,14.72,5.77,0.0691,-0.0453,0.34,0.0761,0.1152,0.0,-164188000.0,-1.33,-0.0741
494,ILLS4,100.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.73,0.0843,-0.10220000000000001,0.5,0.0814,0.36090000000000005,0.0,-18567000.0,-0.22,0.0933
495,ILMD3,29.0,15.73,2.63,0.683,0.0,1.395,5.7,14.13,7.53,13.13,13.13,0.0484,0.0492,1.6,0.1252,0.16690000000000002,0.0,658715000.0,0.02,0.006500000000000001
496,ILMD4,30.0,16.28,2.72,0.707,0.0,1.443,5.89,14.62,7.79,13.62,13.62,0.0484,0.0492,1.6,0.1252,0.16690000000000002,0.0,658715000.0,0.02,0.006500000000000001
497,IMBI3,5.01,-46.42,2.81,2659.02,0.0,0.518,-2.21,-97.12,-0.37,-104.72,-107.45,-27.378800000000002,-138.21200000000002,0.05,-0.0054,-0.0605,0.0,62544000.0,0.22,-0.5716
498,IMBI4,3.5,-32.43,1.96,1857.6,0.0,0.362,-1.54,-67.85,-0.26,-75.44,-77.41,-27.378800000000002,-138.21200000000002,0.05,-0.0054,-0.0605,0.0,62544000.0,0.22,-0.5716
499,IMCH3,6.39,41.83,0.59,0.336,0.0,0.289,-9.49,12.28,-0.78,21.16,6.62,0.0273,0.008,0.82,0.0255,0.013999999999999999,0.0,920589000.0,0.51,0.2104
500,INEP3,2.01,0.18,-0.08,12.583,0.0,0.077,-0.09,-1.29,-0.04,-14.18,-15.91,-9.7895,69.2444,0.09,-0.0637,-0.4129,189758.0,-1182760000.0,-0.76,-0.044199999999999996
501,INEP4,1.79,0.16,-0.07,11.206,0.0,0.069,-0.08,-1.14,-0.04,-14.04,-15.75,-9.7895,69.2444,0.09,-0.0637,-0.4129,110687.0,-1182760000.0,-0.76,-0.044199999999999996
502,INHA3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.13,-7.85,-0.2026,-0.133,1.69,-0.0438,-0.0795,0.0,1778740000.0,0.96,0.2593
503,INTB3,22.65,13.1,2.79,1.807,0.0277,1.449,3.25,14.76,5.39,13.94,11.96,0.12240000000000001,0.1382,2.49,0.18789999999999998,0.2132,24287200.0,2656410000.0,0.36,0.21309999999999998
504,IRBR3,31.63,9.95,0.58,0.465,0.0,0.174,0.0,-49.93,0.0,0.0,0.0,-0.009300000000000001,0.0467,0.0,0.0,0.058600000000000006,56406800.0,4456840000.0,0.0,0.0
505,ITEC3,40.1,-35.12,22.04,2611.69,0.0,9.216,25.42,-26.0,-68.91,-24.8,-29.56,-100.447,-74.3588,5.23,-0.6306,-0.6275999999999999,0.0,20143000.0,0.0,-0.7479
506,ITSA3,9.7,7.08,1.25,13.17,0.08689999999999999,0.964,12.39,172.43,-15.12,178.98,57.74,0.0764,1.911,2.71,0.0060999999999999995,0.17579999999999998,1053580.0,80435000000.0,0.15,0.1072
507,ITSA4,9.68,7.07,1.24,13.143,0.08710000000000001,0.962,12.37,172.08,-15.08,178.62,57.62,0.0764,1.911,2.71,0.0060999999999999995,0.17579999999999998,219029000.0,80435000000.0,0.15,0.1072
508,ITUB3,28.1,8.0,1.55,0.0,0.08349999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1941,10843400.0,177342000000.0,0.0,0.39299999999999996
509,ITUB4,31.88,9.08,1.76,0.0,0.06570000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1941,778762000.0,177342000000.0,0.0,0.39299999999999996
510,IVTT3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004,0.0,1083050000.0,0.0,0.20670000000000002
511,JALL3,6.84,24.39,1.0,1.087,0.06280000000000001,0.31,1.5,8.24,-0.83,19.94,3.93,0.132,0.0446,2.88,0.046,0.040999999999999995,3917980.0,2074760000.0,1.94,0.2186
512,JBDU3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56569000.0,0.0,0.0
513,JBSS3,30.67,33.39,1.54,0.186,0.0,0.333,2.23,7.1,-0.84,15.38,7.22,0.0262,0.0068000000000000005,1.68,0.0601,0.0461,208973000.0,44205300000.0,2.19,0.1388
514,JFAB4,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-112.33,-112.33,0.0,0.0,0.0,0.0,0.023399999999999997,0.0,-10183000.0,0.0,0.0
515,JFEN3,0.9,-2.0,-0.29,3.732,0.0,0.218,-0.83,-2.68,-0.22,-9.89,-10.06,-1.3941999999999999,-1.9347,0.76,-0.0908,0.1475,80612.3,-753126000.0,-0.84,-0.13419999999999999
516,JHSF3,3.85,5.22,0.53,1.707,0.0825,0.218,1.25,4.61,-0.9,9.26,8.49,0.37060000000000004,0.3613,2.33,0.0535,0.10099999999999999,16957700.0,4959010000.0,0.81,0.2075
517,JOPA3,21.0,12.78,0.38,0.105,0.0206,0.099,0.25,1.83,1.7,6.93,6.18,0.057300000000000004,0.0109,2.18,0.07769999999999999,0.0297,1562.84,585855000.0,2.14,0.1471
518,JOPA4,34.98,21.28,0.63,0.175,0.013600000000000001,0.165,0.42,3.05,2.84,8.15,7.27,0.057300000000000004,0.0109,2.18,0.07769999999999999,0.0297,81.35,585855000.0,2.14,0.1471
519,JPSA3,29.02,20.27,1.93,4.667,0.0029,0.468,2.34,12.96,-1.68,20.35,12.83,0.3602,0.4631,5.31,0.045599999999999995,0.0951,7666510.0,1762140000.0,1.94,0.0101
520,JSLG3,9.44,7.54,1.59,0.335,0.0336,0.192,0.79,2.75,-0.41,8.54,5.71,0.1217,0.0444,2.42,0.1007,0.21109999999999998,4822000.0,1698340000.0,5.57,0.1225
521,KEPL3,9.0,6.34,2.07,1.031,0.0942,1.151,3.69,5.88,5.58,5.34,4.7,0.1752,0.16260000000000002,1.92,0.2798,0.3272,8849410.0,779763000.0,0.22,0.3222
522,KLBN11,20.59,13.01,2.25,1.444,0.0512,0.448,2.21,6.93,-1.01,12.81,6.59,0.20850000000000002,0.1161,2.79,0.0863,0.1729,95360100.0,11310500000.0,2.96,0.1649
523,KLBN3,4.19,13.24,2.29,1.469,0.0504,0.456,2.25,7.05,-1.02,12.94,6.65,0.20850000000000002,0.1161,2.79,0.0863,0.1729,1707820.0,11310500000.0,2.96,0.1649
524,KLBN4,4.17,13.18,2.28,1.462,0.0506,0.454,2.23,7.01,-1.02,12.9,6.63,0.20850000000000002,0.1161,2.79,0.0863,0.1729,7294520.0,11310500000.0,2.96,0.1649
