,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a,L/P,Ordem L/P,Ordem ROE,Score,PapelF
16,LAVV3,8.04,5.82,1.21,1.558,0.0799,0.635,0.94,6.99,1.56,6.68,6.65,0.223,0.2804,5.47,0.11689999999999999,0.20879999999999999,6382880.0,1321070000.0,0.34,0.31980000000000003,0.1718213058419244,28,29,57,LAVV
17,BRAP3,17.44,4.66,0.83,0.0,0.1548,0.829,10.49,-320.36,10.53,-287.14,-287.14,0.0,0.0,12.26,-0.0028000000000000004,0.1791,1430840.0,8214080000.0,0.0,0.0,0.2145922746781116,11,52,63,BRAP
18,BBSE3,32.9,8.09,5.47,0.0,0.0872,3.686,0.0,7.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.677,150391000.0,12020300000.0,0.0,0.0,0.12360939431396786,62,1,63,BBSE
19,EUCA4,14.73,3.42,0.55,0.517,0.0625,0.328,2.02,3.6,-6.51,5.16,3.1,0.1437,0.151,1.83,0.09949999999999999,0.1618,1345890.0,2463670000.0,0.3,0.1457,0.29239766081871343,1,63,64,EUCA
20,CMIN3,5.19,7.88,2.36,1.593,0.0992,0.958,3.42,4.82,-6.11,4.47,3.78,0.33020000000000005,0.20199999999999999,2.79,0.32770000000000005,0.2988,52348700.0,12084400000.0,0.69,-0.0172,0.12690355329949238,56,12,68,CMIN
21,EGIE3,44.12,8.51,3.34,3.447,0.053,0.792,12.39,6.8,-1.44,9.82,8.33,0.5067,0.4052,1.51,0.1351,0.3926,76277300.0,10778800000.0,1.97,-0.0019,0.11750881316098707,65,4,69,EGIE
22,VALE3,60.83,7.13,1.47,1.34,0.1149,0.603,29.86,3.35,-1.57,4.01,3.38,0.3997,0.19,1.12,0.2004,0.20679999999999998,1183190000.0,187211000000.0,0.39,0.0519,0.1402524544179523,44,31,75,VALE
23,SUZB3,48.85,7.03,1.43,1.679,0.0242,0.444,2.72,7.54,-1.01,14.65,7.73,0.2227,0.2394,2.89,0.0707,0.20329999999999998,543983000.0,44603800000.0,1.77,0.1185,0.14224751066856328,41,36,77,SUZB
24,VULC3,14.46,7.94,1.98,1.397,0.1985,1.366,2.8,7.42,3.29,7.14,6.02,0.1882,0.17579999999999998,3.04,0.2419,0.24969999999999998,9582290.0,2002700000.0,0.21,0.25980000000000003,0.12594458438287154,57,20,77,VULC
25,SMTO3,32.37,7.59,1.63,1.627,0.0388,0.55,3.32,10.41,-1.54,16.23,5.1,0.1562,0.21420000000000003,2.18,0.064,0.2151,49422900.0,6862370000.0,1.37,0.18280000000000002,0.13175230566534915,51,26,77,SMTO
